meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Mention spéciale du jury,short film ,2019,,Kaohsiung,Film Festival,,Kaohsiung,Taïwan,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best documentary,compétition internationale ,2019,,Chypre,Short Film Festival,,Nicosie,Chypre,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best documentary,,2019,Sapporo Short Film Festival - Sapporo (JP) |code:1068,,Short Film Festival,,Sapporo,Japon,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
New Talent (seconde position),,2019,,Wiesbaden,International Animation Festival,,Wiesbaden,Allemagne,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best Directing Award,,2019,Bieff - Bucarest (RO) |code:1030,,Experimental Film Festival,,Bucarest,Roumanie,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Young jury award,,2019,,Front Doc. ,International Documentary Film Festival,,Aoste,Italie,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Student jury award,documentaire,2019,,Blue Danube ,Film Festival,,Vienne,Autriche ,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best short film,,2019,,LIFF,Film Festival,,Llubjana,Slovénie,Last year when the train passed by film de Pang-Chuan Huang |code:838,,
Best international short film,,2018,,London Short,Short Film Festival,,Londres,Royaume-Unis,Retour film de Pang-Chuan Huang |code:764,,
Prix Festival Connexion Auvergne Rhône-Alpes,,2018,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Short Film Festival,,Clermont-Ferrand,France,Ondes noires film de Ismaël Joffroy Chandoutis |code:770,,
Mention spéciale du jury,,2018,,TIDF,International Documentary Film Festival,,Taipei,Taïwan,Retour film de Pang-Chuan Huang |code:764,,
Grand Prix,Labo,2018,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Film Festival,,Clermont-Ferrand,France,Retour film de Pang-Chuan Huang |code:764,,
Second prix,premiers films documentaire,2018,,Rencontres du cinéma européen,Film Festival,,Vannes,France,Retour film de Pang-Chuan Huang |code:764,,
Meilleur court-métrage latino-américain,,2018,Huesca - Huesca (ES) |code:1081,,Short Film Festival,,Huesca,Espagne ,Una Luna de Hierro film de Francisco Rodriguez |code:785,,
Prix du film off-limits,,2018,Festival Et Marché International Du Film D'Annecy - Annecy (FR) |code:1072,,Film Festival,,Annecy,France,An Excavation of Us film de Shirley Bruno |code:749,,
Mention honorable ,,2018,Kurzfilm Festival Hamburg - Hamburg (DE) |code:1073,,Film Festival,,Hambourg,Allemagne,Una Luna de Hierro film de Francisco Rodriguez |code:785,,
Mention honorable,,2018,Ars Electronica - Linz (AT) |code:1100,,Film Festival,,Linz,Autriche ,An Excavation of Us film de Shirley Bruno |code:749,,
Meilleur court-métrage ,jury étudiant,2018,,War on screen,Film Festival,,Châlon-en-Champagne,France,Retour film de Pang-Chuan Huang |code:764,,
"Second, prix de Taïwan",,2018,,Kaohsiung,Film Festival,,Kaohsiung,Taïwan,Retour film de Pang-Chuan Huang |code:764,,
Best documentary,,2018,,GZDOC,International Documentary Film Festival,,Guangzhou,Chine,Ondes noires film de Ismaël Joffroy Chandoutis |code:770,,
